cl_id	acylamino_acid	amide	anilide	anilinopyrimidine	aromatic	aryl_phenyl_ketone	avermectin	benzamide	benzanilide	benzimidazole	benzimidazolylcarbamate	benzothiazole	benzoylurea	bisacylhydrazine	bridged_diphenyl	carbamate	carbanilate	chloropyridyl	conazole	cyclodiene_organochlorine	dicarboximide	dichlorophenyl_dicarboximide	dinitrophenol	formamidine	furamide	furanilide	imidazole	morpholine	nereistoxin_analogue	organochlorine	organofluorine	organophosphate	organosulfur	organothiophosphate	organotin	phenoxy	phenylsulfamide	phthalimide	pyrazole	pyrethroid_ester	pyrethroid_ether	pyrimidinamine	pyrimidine	quinoxaline	spinosyn	sulfite_ester	sulfonamide	sulfonanilide	tetrazine	thiourea	triazine	triazole	valinamide
3452																			TRUE																								TRUE									TRUE	
4186																																											TRUE										
9174		TRUE										TRUE																																			TRUE						
13383		TRUE																																													TRUE						
2771		TRUE																																									TRUE				TRUE						
11117		TRUE																																									TRUE				TRUE						
16478																																																			TRUE		
2770		TRUE																																													TRUE						
15093		TRUE																																													TRUE						
8221		TRUE						TRUE																																													
9083		TRUE	TRUE																																																		
12134												TRUE																																									
13177					TRUE																																																
16552		TRUE			TRUE																										TRUE																						
4439		TRUE			TRUE																										TRUE												TRUE				TRUE						
5658					TRUE																																																
15042																																																			TRUE		
5182					TRUE																																																
5875		TRUE																																																			
7839					TRUE																										TRUE																						
14139		TRUE																												TRUE									TRUE														
6147																																												TRUE									
2868																																																				TRUE	
1974					TRUE																									TRUE	TRUE					TRUE																	
3874		TRUE																																													TRUE						
88																															TRUE																						
16919					TRUE																																						TRUE										
6359												TRUE																		TRUE																							
1206		TRUE			TRUE																									TRUE	TRUE																						
7291		TRUE						TRUE																																													
15039																																				TRUE																	
8750																																						TRUE															
16628																																																			TRUE		
14040																																																			TRUE		
14041																																																			TRUE		
6034		TRUE																									TRUE																										
16634																															TRUE																						
11494		TRUE																																																			
9577																																																			TRUE		
6251																																																				TRUE	
10526																TRUE																																					
8283										TRUE																	TRUE																										
10787		TRUE																																																			
6868										TRUE																	TRUE																										
16749		TRUE	TRUE																																																		
2937					TRUE														TRUE								TRUE																										
2432					TRUE																																																
5302					TRUE																																																
14322					TRUE																																																
5204					TRUE																																																
1952					TRUE																																																
7890																												TRUE																									
8054					TRUE																										TRUE																						
13985																																				TRUE																	
12726		TRUE																																																			
12458					TRUE																																																
92					TRUE																																																
737																																				TRUE								TRUE									
14411		TRUE																																													TRUE						
1488																																																		TRUE			
3934					TRUE																										TRUE																					TRUE	
6854					TRUE																																																
4009					TRUE																																																
5715		TRUE			TRUE																																																
14605																TRUE											TRUE																										
3711					TRUE																																																
3851					TRUE																																																
3869																																	TRUE																				
2480																														TRUE	TRUE																						
8239					TRUE																																		TRUE														
1089		TRUE																																																			
6628		TRUE																																																			
7873		TRUE																													TRUE																						
8328		TRUE																																																			
7073		TRUE	TRUE																							TRUE																											
3382					TRUE																										TRUE																				TRUE		
12116		TRUE																																																			
2230																																											TRUE										
3288																															TRUE																						
3839																TRUE																																					
4014																TRUE																																					
3564					TRUE																												TRUE																				
13816																																				TRUE																	
14376																																				TRUE																	
6526		TRUE																																		TRUE																	
7584																																																				TRUE	
1763					TRUE																																														TRUE		
2959		TRUE						TRUE																							TRUE																						
13729																																							TRUE														
13626																														TRUE																							
10111		TRUE																												TRUE																							
1916			TRUE																																																		
11187		TRUE																																																			
8280		TRUE																																																			
16630																																											TRUE										
12535																																											TRUE										
11329										TRUE																	TRUE																										
102																																																			TRUE		
15964		TRUE																																																			
13782																																											TRUE										
7090																											TRUE																										
10524																					TRUE																																
104					TRUE										TRUE															TRUE																							
11091		TRUE																																																			
2086		TRUE																																																			
110					TRUE																																																
16631																																											TRUE										
113																														TRUE																							
992		TRUE																																																			
9227																																	TRUE																				
10690										TRUE	TRUE					TRUE											TRUE																										
11297																																											TRUE										
116					TRUE																																																
12947																																											TRUE										
14025		TRUE																																																			
14029					TRUE																																						TRUE										
7107																																											TRUE										
12854																											TRUE																										
6306																											TRUE																										
16371					TRUE																																																
16828		TRUE																																																			
4849		TRUE																																																			
1030																														TRUE																							
7089																																							TRUE														
8053																																																			TRUE		
13045																																											TRUE										
9442		TRUE																																																			
10189					TRUE																									TRUE																							
10931		TRUE																												TRUE																							
9570																																											TRUE										
3490					TRUE																																																
12945																																											TRUE										
7133					TRUE																																																
9749																TRUE																																					
9283		TRUE																																																			
2457																																				TRUE																	
10819					TRUE																																																
9735																											TRUE																										
137																																																			TRUE		
7259					TRUE																																																
2025			TRUE																																																		
16677																														TRUE																							
1301																														TRUE																							
144		TRUE	TRUE																											TRUE																							
7371		TRUE						TRUE																																													
7613																																																			TRUE		
9722																																											TRUE										
9837												TRUE																																									
14981																																			TRUE																		
14340																																	TRUE																				
7208																														TRUE																							
12323		TRUE																																																			
150																																			TRUE																		
8485																															TRUE																						
8418		TRUE			TRUE																																																
15868		TRUE	TRUE						TRUE																																												
151		TRUE			TRUE																									TRUE																							
9974					TRUE																																																
13333		TRUE																																																			
2059					TRUE																																																
156		TRUE			TRUE																									TRUE																							
3052					TRUE																																																
9641																														TRUE																							
14584		TRUE																																																			
157																														TRUE																							
13807		TRUE																																																			
13148		TRUE																																																			
159																																																			TRUE		
13259																																											TRUE										
160					TRUE																																																
6610					TRUE																									TRUE																							
5505																TRUE																																					
2643																					TRUE																																
5335					TRUE																																																
5384					TRUE																																																
7761																								TRUE																													
15784																														TRUE																							
9799		TRUE			TRUE																																										TRUE						
2315																																																				TRUE	
13487																																			TRUE																		
4399																TRUE																																					
168																																																			TRUE		
171																																																			TRUE		
9519					TRUE																						TRUE																										
12803		TRUE						TRUE																																													
13054																					TRUE																																
11113		TRUE																																																			
11506		TRUE																																													TRUE						
180																																																			TRUE		
10635		TRUE																																																			
16485										TRUE																	TRUE																										
7498																																TRUE																					
185																														TRUE																							
11792		TRUE																																																			
16872					TRUE																																																
1312																														TRUE																							
15400																																				TRUE																	
1437		TRUE																																																	TRUE		
9721																																																			TRUE		
188																																		TRUE																			
11114																TRUE																																					
4128					TRUE																																																
12858																																																			TRUE		
7338																														TRUE																							
10700		TRUE						TRUE																																													
196																																																			TRUE		
11110		TRUE																																																			
5105																														TRUE																							
14045																																																			TRUE		
7364		TRUE														TRUE																																					
201		TRUE						TRUE																																													
11094		TRUE																																																			
6655		TRUE																									TRUE																										
11514																											TRUE																										
11683		TRUE																																																			
12857																																																			TRUE		
4016																																											TRUE										
16530		TRUE																																																			
216																																				TRUE																	
4060																														TRUE																							
995		TRUE	TRUE																																																		
217																					TRUE	TRUE					TRUE																										
9747																														TRUE																							
14072																																																			TRUE		
222		TRUE																																																			
10848		TRUE																																																			
9226																																	TRUE																				
225																																		TRUE																	TRUE		
12961							TRUE																																														
12962							TRUE																																														
8871																																			TRUE																	TRUE	
227					TRUE																																																
14028		TRUE																																													TRUE						
15525																TRUE																																					
4949		TRUE			TRUE					TRUE	TRUE					TRUE											TRUE																										
15589					TRUE																																						TRUE										
7126																																																			TRUE		
13084																																																			TRUE		
237																																																			TRUE		
11689		TRUE																																																			
11620																																			TRUE																		
14494																																			TRUE																		
16083																																			TRUE																		
3868																															TRUE																						
11915		TRUE																																																			
11927																											TRUE																										
2657					TRUE																																																
243																																																				TRUE	
16747															TRUE															TRUE																							
8703																																								TRUE													
10418					TRUE																																																
11250										TRUE																	TRUE																										
5326																			TRUE																																	TRUE	
2862																															TRUE																						
9711																											TRUE																										
5347																																											TRUE										
12941		TRUE																																																			
10943																														TRUE																							
