cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
1070-78-6,"","","","","",,"","","","",13437,,"1,1,1,3-tetrachloropropane","","",,"",14056,"","",,""
108-42-9,"","","","","",,"","","","",13869451,,3-chloroaniline,"",3-Chloranilin,8402,"",7932,"","",,""
12002-48-1,"","","","","",,"","","","",,,Trichlorobenzenes (all isomers),"",Trichlorbenzole,5265,"",,"","",,""
1231244-60-2,"","","","","",,"","","","",,,Metazachlor OA,"","",,"",86290103,"","",,""
133-53-9,"","","","","",,"","","","",8302,,"2,4-dichloro-3,5-dimethylphenol","","",,"",8621,"","",,""
134237-50-6,"","","","","",,"","","","",,,alpha-Hexabromocyclododecane,"",alpha-Hexabromocyclododecan,98836,"",11763618,"","",,""
134237-51-7,"","","","","",,"","","","",,,beta-Hexabromocyclododecane,"",beta-Hexabromocyclododecan,98837,"",13040187,"","",,""
134237-52-8,"","","","","",,"","","","",,,gamma-Hexabromocyclododecane,"",gamma-Hexabromocyclododecan,98838,"",11377211,"","",,""
1570-65-6,"","","","","",,"","","","",14557,,"4,6-dichloro-2-methylphenol","","2,4-Dichlor-6-methylphenol",3655,"",15292,"","",,""
171118-09-5,"","","","","",,"","","","",4932269,,Metolachlor ESA,"","",,"",6426849,"","",,""
171262-17-2,"","","","","",,"","","","",21170709,,Alachlor OA,"","",,"",14924483,"","",,""
17254-80-7,"","","","","",,"","","","",,,Chloridazon methyl desphenyl,"",Chloridazon-methyl-desphenyl,98931,"",,"","",,""
182677-30-1,"","","","","",,"","","","",,,"BDE 138 (2,2’,3,4,4’,5’-hexabromodiphenyl ether)","","",,"",,"","",,""
187022-11-3,"","","","","",,"","","","",4932268,,Acetochlor ESA,"","",,"",6426848,"","",,""
194992-44-4,"","","","","",,"","","","",21170690,,Acetochlor OA,"","",,"",15842091,"","",,""
25140-90-3,"","","","","",,"","","","",,,"2-(2,6-dichlorophenoxy)propionic acid (2,6-DCPP)","","",,"",,"","",,""
32534-81-9,"","","","","",,"","","","",10659424,,Pentabromodiphenylether,"","Bromierte Diphenylether, Summe der Kongenere 28, 47, 99, 100, 153 und 154",98828,"",,"","",,""
32536-52-0,"","","","","",,"","","","",5020645,,Octabromodiphenyl ether,"","",,"",6537506,"","",,""
33213-65-9,"","","","","",,"","","","",16736499,,Beta-Endosulfan,"","Endosulfan, beta-",7396,"",12309460,"","",,""
35065-28-2,"","","","","",,"","","","",,,"PCB 138 (2,2’,3,4,4’,5’-hexachlorobiphenyl)","",PCB-138,23225,"",,"","",,""
35065-29-3,"","","","","",,"","","","",,,"PCB 180 (2,2’,3,4,4’,5,5’-heptachlorobiphenyl)","",PCB-180,8632,"",,"","",,""
35065-30-6,"","","","","",,"","","","",,,"PCB 170 (1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene)","","",,"",,"","",,""
35694-08-7,"","","","","",,"","","","",,,"PCB 194 (1,2,3,4-tetrachloro-5-(2,3,4,5-tetrachlorophenyl)benzene)","","",,"",,"","",,""
36483-60-0,"","","","","",,"","","","",,,Hexabromodiphenylether,"","",,"",,"","",,""
36643-28-4,"","","","","",,"","","","",,,Tributyltin-cation,"",Tributylzinnverbindungen,97086,"",,"","",,""
37680-73-2,"","","","","",,"","","","",,,"PCB 101 (2,2’,4,5,5’-pentachlorobiphenyl)","",PCB-101,8628,"",,"","",,""
38379-99-6,"","","","","",,"","","","",,,"PCB 95 (2,2',3,5',6-Pentachlorobiphenyl)","","",,"",38012,"","",,""
38380-01-7,"","","","","",,"","","","",,,"PCB 99 (2,2',4,4',5-Pentachlorobiphenyl)","","",,"",38013,"","",,""
38380-03-9,"","","","","",,"","","","",,,"PCB 110 (2,3,3',4',6-Pentachlorobiphenyl)","","",,"",38015,"","",,""
38380-04-0,"","","","","",,"","","","",,,"PCB 149 (2,2',3,4',5',6-Hexachlorobiphenyl)","","",,"",38016,"","",,""
51908-16-8,"","","","","",,"","","","",,,"PCB 146 (2,2',3,4',5,5'-Hexachlorobiphenyl)","","",,"",40172,"","",,""
52236-30-3,"","","","","",,"","","","",,,Desamino-diketo-metribuzin,"","",,"",,"","",,""
526-75-0,"","","","","",,"","","","",13839151,,"2,3-dimethyl-phenol","","2,3-Dimethylphenol",2488,"",10687,"","",,""
52663-63-5,"","","","","",,"","","","",,,"PCB 151 (2,2',3,5,5',6-Hexachlorobiphenyl)","","",,"",40471,"","",,""
52663-68-0,"","","","","",,"","","","",,,"PCB 187 (2,2',3,4',5,5',6-Heptachlorobiphenyl)","","",,"",,"","",,""
52663-69-1,"","","","","",,"","","","",,,"PCB 183 (82,2',3,4,4',5',6-Heptachloro-1,1'-biphenyl)","","",,"",,"","",,""
52663-70-4,"","","","","",,"","","","",,,"PCB 177 (3,3',4',5,6-Heptachlorobiphenyl)","","",,"",,"","",,""
576-26-1,"","","","","",,"","","","",13839174,,"2,6-dimethyl-phenol","","2,6-Dimethylphenol",2661,"",11335,"","",,""
