cas	inchi	inchikey	smiles	formula	definition	checked	alw_cname	che_cname	che_id	chl_id	chs_id	drb_id	eea_cname	ein_id	etx_cname	etx_id	ipc_name	puc_cid	wid_cname	wid_id	zvg_id	uni_id
1070-78-6	InChI=1S/C3H4Cl4/c4-2-1-3(5,6)7/h1-2H2	UTACNSITJSJFHA-UHFFFAOYSA-N	C(CCl)C(Cl)(Cl)Cl	C3H4Cl4							13437		1,1,1,3-tetrachloropropane					14056				
108-42-9	InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2	PNPCRKVUWYDDST-UHFFFAOYSA-N	C1=CC(=CC(=C1)Cl)N	C6H6ClN							13869451		3-chloroaniline		3-Chloranilin	8402		7932				
12002-48-1													Trichlorobenzenes (all isomers)		Trichlorbenzole	5265						
1231244-60-2	InChI=1S/C14H15N3O3/c1-10-5-3-6-11(2)12(10)17(13(18)14(19)20)9-16-8-4-7-15-16/h3-8H,9H2,1-2H3,(H,19,20)	PHMHHVKFXZNTKU-UHFFFAOYSA-N	CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)C(=O)O	C14H15N3O3									Metazachlor OA					86290103				
133-53-9	InChI=1S/C8H8Cl2O/c1-4-3-6(11)8(10)5(2)7(4)9/h3,11H,1-2H3	IYOLBFFHPZOQGW-UHFFFAOYSA-N	CC1=CC(=C(C(=C1Cl)C)Cl)O	C8H8Cl2O							8302		2,4-dichloro-3,5-dimethylphenol					8621				
134237-50-6	InChI=1S/C12H18Br6/c13-7-1-2-8(14)10(16)5-6-12(18)11(17)4-3-9(7)15/h7-12H,1-6H2/t7-,8-,9+,10+,11-,12-/m1/s1	DEIGXXQKDWULML-PQTSNVLCSA-N	C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br	C12H18Br6									alpha-Hexabromocyclododecane		alpha-Hexabromocyclododecan	98836		11763618				
134237-51-7	InChI=1S/C12H18Br6/c13-7-1-2-8(14)10(16)5-6-12(18)11(17)4-3-9(7)15/h7-12H,1-6H2/t7-,8-,9-,10+,11+,12-/m1/s1	DEIGXXQKDWULML-UFVWWTPHSA-N	C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br	C12H18Br6									beta-Hexabromocyclododecane		beta-Hexabromocyclododecan	98837		13040187				
134237-52-8	InChI=1S/C12H18Br6/c13-7-1-2-8(14)10(16)5-6-12(18)11(17)4-3-9(7)15/h7-12H,1-6H2/t7-,8-,9-,10+,11-,12+/m1/s1	DEIGXXQKDWULML-MOCCIAMBSA-N	C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br	C12H18Br6									gamma-Hexabromocyclododecane		gamma-Hexabromocyclododecan	98838		11377211				
1570-65-6	InChI=1S/C7H6Cl2O/c1-4-2-5(8)3-6(9)7(4)10/h2-3,10H,1H3	WJQZZLQMLJPKQH-UHFFFAOYSA-N	CC1=CC(=CC(=C1O)Cl)Cl	C7H6Cl2O							14557		4,6-dichloro-2-methylphenol		2,4-Dichlor-6-methylphenol	3655		15292				
171118-09-5	InChI=1S/C15H23NO5S/c1-5-13-8-6-7-11(2)15(13)16(12(3)9-21-4)14(17)10-22(18,19)20/h6-8,12H,5,9-10H2,1-4H3,(H,18,19,20)	CIGKZVUEZXGYSV-UHFFFAOYSA-N	CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C	C15H23NO5S							4932269		Metolachlor ESA					6426849				
