cl_id	antibiotic	antifouling	biocide	drug	fumigant	herbicide_safener	pesticide	pesticide_synergist	phytogenic	precursor
9842										
3452				TRUE						
83	TRUE			TRUE						
13725	TRUE			TRUE						
15424							TRUE			
16383										
11488										
3971										
4186				TRUE						
4983										
9174				TRUE						
13383				TRUE						
8988										
2771	TRUE			TRUE						
9271										
14491				TRUE						
8538										
4175				TRUE						
11117	TRUE			TRUE						
16478										
2770	TRUE			TRUE						
15093	TRUE			TRUE						
14630										
9602										
15546										
16120										
15713										
9369										
16899										
1456										
10085										
15875				TRUE						
12009										
11925										
9298										
5176										
84				TRUE						
9515				TRUE						
16898										
13207										
1110										
12226										
2377										
10707										
9428										
8221				TRUE						
9976										
12804										
11641										
10184				TRUE						
9436										
727										
14604										
1320										
6033										
16832	TRUE									
85							TRUE			
9511										
9083										
12134										
11944										
4254	TRUE			TRUE						
9122				TRUE						
1160										
12594										
13177										
16037										
6780										
715										
2827										
10343										
12936										
16552							TRUE			
12181										
4583										
13217										
12507										
4439							TRUE			
5658							TRUE			
13195				TRUE						
15042							TRUE			
5182							TRUE			
12398										
14502										
3434				TRUE						
15498										
14763				TRUE						
3558										
5875							TRUE			
7839							TRUE			
1854										
9566										
7132										
14139							TRUE			
2493										
86										
87										
8689										
8414										
8096										
4561							TRUE			
6426										
14367										
1990										
12288										
9669										
6147										
16312										
2868							TRUE			
1974							TRUE			
3874	TRUE			TRUE						
88							TRUE			
15650							TRUE			
16919							TRUE			
13241							TRUE			
6359							TRUE			
1206							TRUE			
7291										
15039							TRUE			
8750							TRUE			
2860										
15536										
15429										
5046										
9779				TRUE						
15454							TRUE			
6312							TRUE			
16628							TRUE			
14040							TRUE			
14041							TRUE			
1791										
16571							TRUE			
14701										
3462										
13183										
3047										
2898										
6997										
7600							TRUE			
7320										
12728										
16073										
3360										
6034				TRUE						
16609										
16339							TRUE			
10320										
3763				TRUE						
16634							TRUE			
11548										
89										
8743										
2607										
632										
9085										
916										
12563							TRUE			
4638										
841										
90										
14641										
2537										
3629										
10570										
1998										
11093										
11494										
16443										
7793										
9393										
8798										
2348										
9459										
9577										
6251										
10526										
14636										
4578										
3247										
8283										
10989										
9403										
10787										
10764										
6868										
16749										
16730										
10833										
13963										
8709										
2198										
10167										
2937				TRUE						
7114										
8836										
3632										
13103										
2071										
3772										
10654										
2432										
12265										
5302										
11255										
14322										
14905										
3633										
10814										
11657										
6632										
11269										
2631										
13908										
14319										
8275										
12250										
5204										
6545										
1952										
5735										
2948										
7890										
7880										
4918										
10710										
9693										
8054							TRUE			
2997										
1689										
11510										
15759										
826										
91										
13985							TRUE			
15916							TRUE			
11555										
8968										
12726										
12458										
92							TRUE			
5587										
16043										
16955										
2782										
9957							TRUE			
7603				TRUE						
737							TRUE			
16769										
93							TRUE			
94										
5197										
95										
96										
14411										
744							TRUE			
1472							TRUE			
1929							TRUE			
1488										
3934							TRUE			
6854										
16734							TRUE			
4009	TRUE			TRUE						
3046										
3155				TRUE						
15146										
2506										
10476										
5715							TRUE			
14605				TRUE						
16424										
3711							TRUE			
3851							TRUE			
12745										
3869							TRUE			
2480		TRUE	TRUE				TRUE			
8239							TRUE			
9413										
1089										
6628										
15728										
15565										
2380										
12017										
15162					TRUE		TRUE			
7604										
5092										
13820										
6038							TRUE			
3679							TRUE			
7873							TRUE			
8328							TRUE			
7073							TRUE			
6240							TRUE			
3382							TRUE			
8105							TRUE			
1107										
12116				TRUE						
2230										
16934							TRUE			
3094										
2041										
1595										
4349										
12959										
3288							TRUE			
3025							TRUE			
3839										
4014										
4192		TRUE	TRUE							
8060										
3564							TRUE			
2301										
11390										
12913							TRUE			
5015				TRUE						
3969				TRUE						
11503										
10122										
4395										
13816							TRUE			
14376										
6526							TRUE			
7584							TRUE			
1763							TRUE			
2959							TRUE			
2144										
13739										
16870										
10442										
6757										
13729							TRUE			
13626										
16426										
12828										
10111							TRUE			
1128							TRUE			
15442							TRUE			
2014							TRUE			
14816							TRUE			
13395										
9213										
2421							TRUE			
2527										
1916							TRUE			
14624										
14844										
7642				TRUE						
6377							TRUE			
7569				TRUE						
6054										
3714										
5110										
1315							TRUE			
10041										
15486										
14335										
10522										
13188										
14368										
2749										
5616	TRUE						TRUE			
12276										
9751										
7872										
11112										
9565				TRUE						
12768										
7343				TRUE						
3642										
11763										
11764										
3493										
9237										
9238										
9240										
9239										
5935										
12922										
9354										
5870										
4549										
7282										
5869				TRUE						
3677										
10966										
10336										
5665										
10929										
10922										
14941										
16223										
14290										
8213										
4089										
4288										
12012										
